Дата	Час	Купівля	Продаж	КурсНбу
08.02.2022	08:25:07	27.7	28.1	27.9998
09.02.2022	07:43:56	27.75	28.12	27.9619
10.02.2022	08:33:20	27.78	28.12	27.9795
11.02.2022	00:39:19	27.75	28.1	27.8756
14.02.2022	00:00:06	27.85	28.2	28.0346
14.02.2022	10:45:15	28	29	28.0346
15.02.2022	00:54:25	28.3	29	28.5355
15.02.2022	13:32:01	28.1	28.75	28.5355
16.02.2022	11:11:04	28	28.55	28.2424
17.02.2022	01:18:26	27.98	28.38	28.0943
17.02.2022	12:00:00	28.05	28.5	28.0943
18.02.2022	07:47:57	28.2	28.65	28.3
21.02.2022	00:31:31	28.2	28.65	28.3428
22.02.2022	08:39:56	28.42	28.98	0
22.02.2022	10:47:43	28.45	29.5	28.4846
23.02.2022	08:44:42	28.9	29.7	28.9877
23.02.2022	15:49:29	28.98	30.1	29.2549
24.02.2022	08:26:56	29.25	30.7	29.2549
24.02.2022	08:27:32	29.25	30.7	29.2549
24.02.2022	13:14:37	29.2549	0	29.2549
24.02.2022	13:18:12	29.2549	0	29.2549
25.02.2022	11:07:40	29.2549	0	29.2549
25.02.2022	11:10:26	29.2549	0	29.2549
02.03.2022	10:03:19	29.2549	0	29.2549
03.03.2022	09:01:06	29.2549	0	29.2549
04.03.2022	09:51:26	29.2549	0	29.2549
05.03.2022	09:42:54	29.2549	0	29.2549
07.03.2022	10:16:24	29.2549	0	29.2549
09.03.2022	09:34:32	29.2549	0	29.2549
12.03.2022	15:40:21	29.2549	0	29.2549
14.03.2022	10:14:31	29.2549	0	29.2549
15.03.2022	08:17:43	29.2549	0	29.2549
16.03.2022	09:27:26	29.2549	0	29.2549
17.03.2022	11:02:39	29.2549	0	29.2549
18.03.2022	09:39:41	29.2549	0	29.2549
21.03.2022	08:33:49	29.2549	0	29.2549
22.03.2022	09:45:32	29.2549	0	29.2549
23.03.2022	09:53:35	29.2549	0	0
23.03.2022	10:38:15	29.2549	0	0
24.03.2022	01:31:12	29.2549	0	29.2549
25.03.2022	01:36:20	29.2549	0	29.2549
28.03.2022	07:21:54	29.2549	0	0
29.03.2022	00:33:15	29.2549	0	0
30.03.2022	02:26:58	29.2549	0	0
31.03.2022	02:43:04	29.2549	0	0
01.04.2022	00:59:42	29.2549	0	29.2549
04.04.2022	00:50:04	29.2549	0	29.2549
05.04.2022	00:59:22	29.2549	0	29.2549
06.04.2022	01:45:59	29.2549	0	29.2549
07.04.2022	00:14:23	29.2549	0	29.2549
08.04.2022	01:19:14	29.2549	0	29.2549
09.04.2022	10:32:37	29.2549	0	29.2549
11.04.2022	01:59:37	29.2549	0	29.2549
12.04.2022	00:09:44	29.2549	0	29.2549
13.04.2022	00:16:55	29.2549	0	29.2549
14.04.2022	01:18:10	29.2549	0	29.2549
15.04.2022	00:21:14	29.2549	0	29.2549
18.04.2022	00:01:52	29.2549	0	29.2549
18.04.2022	11:17:26	29.2549	32.18	29.2549
19.04.2022	00:18:30	29.5	32.18	29.2549
20.04.2022	02:03:33	29.5	32.18	29.2549
21.04.2022	01:31:55	29.5	32.18	29.2549
22.04.2022	01:25:44	29.8	32.18	29.2549
25.04.2022	00:02:13	29.9	32.18	29.2549
26.04.2022	00:05:03	29.9	32.18	29.2549
27.04.2022	00:05:49	29.9	32.18	29.2549
28.04.2022	00:05:19	31	32.18	29.2549
29.04.2022	00:05:24	31.2	32.18	29.2549
02.05.2022	00:05:19	31.3	32.18	29.2549
03.05.2022	00:05:29	31.3	32.18	29.2549
04.05.2022	00:05:04	31.3	32.18	29.2549
05.05.2022	00:05:49	31.4	32.18	29.2549
06.05.2022	00:30:01	31.5	32.18	29.2549
09.05.2022	00:00:17	31.5	32.18	29.2549
09.05.2022	21:45:42	31.5	32.18	29.2549
10.05.2022	00:05:19	31.5	32.18	29.2549
11.05.2022	00:03:48	31.5	32.18	29.2549
12.05.2022	00:00:59	31.5	32.18	29.2549
13.05.2022	00:05:52	31.5	32.18	29.2549
16.05.2022	00:05:26	31.5	32.18	29.2549
17.05.2022	00:25:39	31.5	32.18	29.2549
18.05.2022	00:05:16	31.5	32.18	29.2549
19.05.2022	00:05:57	31.5	32.18	29.2549
20.05.2022	00:05:22	31.5	32.18	29.2549
22.05.2022	21:22:18	31.6	32.18	29.2549
24.05.2022	00:55:51	38.8	40	29.2549
24.05.2022	08:59:41	37	37.5	29.2549
24.05.2022	09:01:11	37	37.5	29.2549
24.05.2022	11:37:40	36.2	37	29.2549
24.05.2022	11:38:32	36.2	37	29.2549
24.05.2022	12:01:31	36.2	37	29.2549
25.05.2022	00:01:30	34	36.5	29.2549
25.05.2022	11:50:30	34	36.2	29.2549
26.05.2022	00:05:00	34.4	36.2	29.2549
26.05.2022	12:31:23	35.8	36.6	29.2549
27.05.2022	00:05:55	35.7	36.5	29.2549
30.05.2022	00:36:32	35.7	36.5	29.2549
30.05.2022	11:57:34	35.5	36.3	29.2549
31.05.2022	00:05:21	35.3	36.2	29.2549
31.05.2022	11:43:07	35.1	36.1	29.2549
01.06.2022	00:05:49	35	36	29.2549
01.06.2022	12:14:47	34.75	35.8	29.2549
02.06.2022	00:10:40	34.9	35.8	29.2549
03.06.2022	00:05:00	34.9	35.9	29.2549
06.06.2022	00:05:11	35	35.9	29.2549
06.06.2022	11:56:35	34.5	35.65	29.2549
07.06.2022	00:05:25	34.5	35.65	29.2549
07.06.2022	14:17:45	34.5	35.5	29.2549
08.06.2022	00:05:36	34.55	35.6	29.2549
09.06.2022	08:46:13	34.6	35.6	29.2549
10.06.2022	08:33:28	34.7	35.55	29.2549
13.06.2022	08:42:44	34.7	35.55	29.2549
13.06.2022	12:15:19	34.7	35.55	29.2549
13.06.2022	12:44:51	34.7	35.5	29.2549
14.06.2022	08:19:41	34.85	35.7	29.2549
15.06.2022	08:40:01	35	35.75	29.2549
16.06.2022	08:48:22	35.2	35.85	29.2549
17.06.2022	08:39:49	35.35	35.9	29.2549
20.06.2022	08:25:37	35.25	35.75	29.2549
20.06.2022	15:15:08	35	35.65	29.2549
21.06.2022	08:49:10	35	35.6	29.2549
22.06.2022	00:05:26	35	35.6	29.2549
23.06.2022	08:25:24	35	35.6	29.2549
24.06.2022	00:05:23	35.1	35.7	29.2549
26.06.2022	21:27:29	35.1	35.7	29.2549
27.06.2022	00:05:21	35.1	35.7	29.2549
28.06.2022	08:48:42	35.2	35.8	29.2549
29.06.2022	08:33:17	35.2	35.8	29.2549
30.06.2022	09:20:26	35.3	35.7	29.2549
30.06.2022	09:20:45	35.3	35.7	29.2549
01.07.2022	08:33:30	35.3	35.65	29.2549
04.07.2022	08:43:22	35.25	35.65	29.2549
04.07.2022	08:45:48	35.25	35.65	29.2549
05.07.2022	08:53:17	35.15	35.55	29.2549
05.07.2022	11:59:26	35.05	35.5	29.2549
05.07.2022	15:56:41	35.05	35.5	29.2549
06.07.2022	08:49:59	34.95	35.45	29.2549
07.07.2022	08:45:06	35.1	35.6	29.2549
07.07.2022	12:40:20	35.4	35.85	29.2549
07.07.2022	15:10:00	35.55	36.05	29.2549
08.07.2022	08:44:07	35.55	36.1	29.2549
11.07.2022	12:12:34	36	36.9	29.2549
12.07.2022	00:03:34	36.1	37.1	29.2549
12.07.2022	12:45:14	36.5	37.5	29.2549
12.07.2022	15:41:34	36.8	37.8	29.2549
13.07.2022	08:43:46	36.8	37.8	29.2549
13.07.2022	12:20:00	37	37.95	29.2549
14.07.2022	08:24:33	36.9	37.85	29.2549
14.07.2022	15:00:00	37	37.75	29.2549
