0	Товар 9	Товар 8	Товар 7	Товар 6	Товар 5	Товар 4	Товар 3	Товар 2	Товар 1	Критерій
Витрати 1	1,2	1,74	1,32	1,32	1,32	1,74	1,74	1,32	1,32	мін
Витрати 2	204,06	193,32	196,32	196,32	193,52	193,32	193,32	193,52	193,52	мін
Витрати 3	1,12	0,26	0,44	0,44	0,19	0,26	0,26	0,19	0,19	мін
Витрати 4	1,2	1,73	1,31	1,31	1,31	1,73	1,73	1,31	1,31	мін
Витрати 5	0,61	0,01	0,02	0,02	0,02	0,01	0,01	0,02	0,02	мін
Витрати 6	18,24	10,45	15	15	14,74	10,45	10,45	14,74	14,74	мін
Ефективність	4,09	4,7	3,3	3,3	3,16	4,7	4,7	3,16	3,16	мах
Витрати 7	2,19	1,82	1,98	1,98	1,94	1,82	1,82	1,94	1,94	мін
Витрати 8	1,03	0,53	0,69	0,69	0,55	0,53	0,53	0,55	0,55	мін

