Завантаження даних за 365 днів...
=== ПОЧАТОК GRID SEARCH ===
Вікно:  3 | LR: 0.0001 --> Train Loss: 0.066164 | Val Loss: 0.008737
Вікно:  3 | LR: 0.0004 --> Train Loss: 0.012291 | Val Loss: 0.010172
Вікно:  3 | LR: 0.0008 --> Train Loss: 0.006856 | Val Loss: 0.009192
Вікно:  3 | LR: 0.0011 --> Train Loss: 0.006071 | Val Loss: 0.009675
Вікно:  3 | LR: 0.0015 --> Train Loss: 0.007809 | Val Loss: 0.009419
Вікно:  3 | LR: 0.0018 --> Train Loss: 0.004430 | Val Loss: 0.007957
Вікно:  3 | LR: 0.0021 --> Train Loss: 0.004060 | Val Loss: 0.010870
Вікно:  3 | LR: 0.0025 --> Train Loss: 0.005596 | Val Loss: 0.009696
Вікно:  3 | LR: 0.0028 --> Train Loss: 0.004088 | Val Loss: 0.008966
Вікно:  3 | LR: 0.0032 --> Train Loss: 0.005221 | Val Loss: 0.008783
Вікно:  3 | LR: 0.0035 --> Train Loss: 0.005054 | Val Loss: 0.010429
Вікно:  3 | LR: 0.0039 --> Train Loss: 0.004473 | Val Loss: 0.010587
Вікно:  3 | LR: 0.0042 --> Train Loss: 0.004253 | Val Loss: 0.010987
Вікно:  3 | LR: 0.0045 --> Train Loss: 0.005266 | Val Loss: 0.008882
Вікно:  3 | LR: 0.0049 --> Train Loss: 0.004946 | Val Loss: 0.008861
Вікно:  3 | LR: 0.0052 --> Train Loss: 0.004145 | Val Loss: 0.013586
Вікно:  3 | LR: 0.0056 --> Train Loss: 0.003900 | Val Loss: 0.013973
Вікно:  3 | LR: 0.0059 --> Train Loss: 0.003795 | Val Loss: 0.011579
Вікно:  3 | LR: 0.0062 --> Train Loss: 0.004243 | Val Loss: 0.009066
Вікно:  3 | LR: 0.0066 --> Train Loss: 0.004561 | Val Loss: 0.009581
Вікно:  3 | LR: 0.0069 --> Train Loss: 0.004510 | Val Loss: 0.006376
Вікно:  3 | LR: 0.0073 --> Train Loss: 0.004054 | Val Loss: 0.013135
Вікно:  3 | LR: 0.0076 --> Train Loss: 0.004655 | Val Loss: 0.009049
Вікно:  3 | LR: 0.0080 --> Train Loss: 0.004781 | Val Loss: 0.010344
Вікно:  3 | LR: 0.0083 --> Train Loss: 0.004777 | Val Loss: 0.008399
Вікно:  3 | LR: 0.0086 --> Train Loss: 0.003898 | Val Loss: 0.011407
Вікно:  3 | LR: 0.0090 --> Train Loss: 0.004437 | Val Loss: 0.011572
Вікно:  3 | LR: 0.0093 --> Train Loss: 0.004616 | Val Loss: 0.011962
Вікно:  3 | LR: 0.0097 --> Train Loss: 0.004052 | Val Loss: 0.015250
Вікно:  3 | LR: 0.0100 --> Train Loss: 0.003862 | Val Loss: 0.019042
Вікно:  5 | LR: 0.0001 --> Train Loss: 0.235576 | Val Loss: 0.015113
Вікно:  5 | LR: 0.0004 --> Train Loss: 0.009293 | Val Loss: 0.007159
Вікно:  5 | LR: 0.0008 --> Train Loss: 0.010103 | Val Loss: 0.009584
Вікно:  5 | LR: 0.0011 --> Train Loss: 0.007514 | Val Loss: 0.007734
Вікно:  5 | LR: 0.0015 --> Train Loss: 0.008994 | Val Loss: 0.009845
Вікно:  5 | LR: 0.0018 --> Train Loss: 0.006259 | Val Loss: 0.007070
Вікно:  5 | LR: 0.0021 --> Train Loss: 0.007729 | Val Loss: 0.009298
Вікно:  5 | LR: 0.0025 --> Train Loss: 0.006200 | Val Loss: 0.007302
Вікно:  5 | LR: 0.0028 --> Train Loss: 0.005218 | Val Loss: 0.009137
Вікно:  5 | LR: 0.0032 --> Train Loss: 0.008517 | Val Loss: 0.009506
Вікно:  5 | LR: 0.0035 --> Train Loss: 0.006053 | Val Loss: 0.009127
Вікно:  5 | LR: 0.0039 --> Train Loss: 0.005662 | Val Loss: 0.007786
Вікно:  5 | LR: 0.0042 --> Train Loss: 0.004296 | Val Loss: 0.009132
Вікно:  5 | LR: 0.0045 --> Train Loss: 0.005678 | Val Loss: 0.007168
Вікно:  5 | LR: 0.0049 --> Train Loss: 0.005743 | Val Loss: 0.009118
Вікно:  5 | LR: 0.0052 --> Train Loss: 0.005640 | Val Loss: 0.008770
Вікно:  5 | LR: 0.0056 --> Train Loss: 0.006127 | Val Loss: 0.009573
Вікно:  5 | LR: 0.0059 --> Train Loss: 0.004550 | Val Loss: 0.018670
Вікно:  5 | LR: 0.0062 --> Train Loss: 0.004574 | Val Loss: 0.008148
Вікно:  5 | LR: 0.0066 --> Train Loss: 0.003979 | Val Loss: 0.009632
Вікно:  5 | LR: 0.0069 --> Train Loss: 0.006536 | Val Loss: 0.007853
Вікно:  5 | LR: 0.0073 --> Train Loss: 0.003801 | Val Loss: 0.007321
Вікно:  5 | LR: 0.0076 --> Train Loss: 0.004132 | Val Loss: 0.009160
Вікно:  5 | LR: 0.0080 --> Train Loss: 0.005534 | Val Loss: 0.007010
Вікно:  5 | LR: 0.0083 --> Train Loss: 0.005125 | Val Loss: 0.009739
Вікно:  5 | LR: 0.0086 --> Train Loss: 0.005357 | Val Loss: 0.009375
Вікно:  5 | LR: 0.0090 --> Train Loss: 0.004452 | Val Loss: 0.010294
Вікно:  5 | LR: 0.0093 --> Train Loss: 0.007411 | Val Loss: 0.009731
Вікно:  5 | LR: 0.0097 --> Train Loss: 0.003899 | Val Loss: 0.010045
Вікно:  5 | LR: 0.0100 --> Train Loss: 0.004363 | Val Loss: 0.017866
Вікно:  7 | LR: 0.0001 --> Train Loss: 0.110547 | Val Loss: 0.008934
Вікно:  7 | LR: 0.0004 --> Train Loss: 0.008196 | Val Loss: 0.007496
Вікно:  7 | LR: 0.0008 --> Train Loss: 0.006793 | Val Loss: 0.007012
Вікно:  7 | LR: 0.0011 --> Train Loss: 0.009841 | Val Loss: 0.010010
Вікно:  7 | LR: 0.0015 --> Train Loss: 0.005672 | Val Loss: 0.013257
Вікно:  7 | LR: 0.0018 --> Train Loss: 0.009842 | Val Loss: 0.009039
Вікно:  7 | LR: 0.0021 --> Train Loss: 0.006901 | Val Loss: 0.007960
