,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,WORLD SALES,,,,,,,,,,,,,,,,,,,,,,"2020, December Results "
,,Including Jinbei & Huasong ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,PROPRIETE RENAULT
,,MONTH,,,,,,,,,,,,YTD,,,,,,,,,,
,,TIV,,,,Volumes,,,,Market Share,,,,TIV,,,,Volumes,,,,Market Share,,
PC+LCV - Group,,Volumes Ku,Vol Y-1,∆ (U),∆ %,Volumes  u,Vol Y-1,∆ (U),∆ %,MS,Pdm Y-1,∆ pt,,Volumes Ku,Vol y-1,∆ Vol.,∆ %,Volumes  u,Vol y-1,∆ (U),∆ %,MS,MS y-1,∆ pt
,,,,Y-1,vs Y-1,,,vs Y-1,vs Y-1,%,,vs Y-1,,,,Y-1,vs Y-1,,,Y-1,vs Y-1,%,,vs Y-1
WORLDWIDE WITH NORTH AMERICA,,8228.816,8561.432,-332.616,-3.885051005486%,321424,363662,-42238,-11.6146311685026%,3.90601758503289,4.23836806739807,-0.332350482365182,,92912.667,93229.791,-317.123999999996,-0.340153074031879%,3884295,3762077,122218,3.24868417100448%,4.18044613873801,4.03407747637233,0.146368662365672
EUROPE REGION Sales,,,,,,147067,173270,-26203,-15.122640964968%,,,,,,,,,1920742,1911824,8918,0.466465532392113%,,,
EUROPE REGION Registrations,,1205.055,1310.037,-104.982,-8.01366678956399%,147062,172473,-25411,-14.7333205777136%,12.2037583346818,13.1655060124256,-0.961747677743778,,17655.734,17619.69,36.0439999999981,0.204566595666544%,1920611,1910709,9902,0.518236947646145%,10.8781147246555,10.8441692220465,0.0339455026089883
Europe VNI,,,,,,5,797,-792,-99.3726474278545%,,,,,,,,,131,1115,-984,-88.2511210762332%,,,
France,,206.132,232.942,-26.81,-11.5093027448893%,54496,64962,-10466,-16.1109571749638%,26.4374284439097,27.8876286801006,-1.4502002361909,,2632.62,2549.402,83.2179999999999,3.26421647115676%,689788,673868,15920,2.36248048579246%,26.2015786554839,26.4323947341377,-0.23081607865376
FRANCE Sales,,,,,,54496,64962,-10466,-16.1109571749638%,,,,,,,,,689788,673868,15920,2.36248048579246%,,,
France VNI,,,,,,0,0,0,0%,,,,,,,,,0,0,0,0%,,,
G9 Sales,,,,,,92571,108308,-15737,-14.5298592901725%,,,,,,,,,1230954,1237956,-7002,-0.565609763190289%,0,0,0
G9,,998.923,1077.095,-78.1720000000004,-7.25766993626378%,92566,107511,-14945,-13.9009031633972%,9.266580106775,9.98157079923312,-0.714990692458123,,15023.114,15070.288,-47.1740000000009,-0.313026532737803%,1230823,1236841,-6018,-0.486562136927871%,8.19286201249621,8.20714906045591,-0.0142870479596997
G9 VNI,,,,,,5,797,-792,-99.3726474278545%,,,,,,,,,131,1115,-984,-88.2511210762332%,,,
