Postcode,Sales_Rep_ID,Sales_Rep_Name,Year,Value
2121,456,Jane,2011,84219.4973106866
2092,789,Ashish,2012,28322.1922678521
2128,456,Jane,2013,81878.9972414417
2073,123,John,2011,44491.1421210865
2134,789,Ashish,2012,71837.7209591898
2162,123,John,2013,64531.5492539702
2093,456,Jane,2011,58962.6398318449
2042,789,Ashish,2012,27521.7919642904
2198,123,John,2013,77985.1261011549
2043,789,Ashish,2011,49546.1233165386
2025,789,Ashish,2012,17733.7745996359
2045,456,Jane,2013,91125.9959230564
2090,456,Jane,2011,48112.7647790753
2114,456,Jane,2012,28361.3383908008
2142,456,Jane,2013,50911.554904746
2062,123,John,2011,75538.8697409014
2049,456,Jane,2012,96922.3283447292
2204,456,Jane,2013,57838.1750236725
2000,456,Jane,2011,4529.74856363333
2135,123,John,2012,27761.1193224401
2115,456,Jane,2013,22772.6983778859
2032,789,Ashish,2011,98780.1628742858
2068,456,Jane,2012,66043.7023558747
2119,789,Ashish,2013,32882.2748388888
2060,456,Jane,2011,75822.406617071
2072,456,Jane,2012,36675.4003908082
2045,123,John,2013,95816.7028867888
2140,456,Jane,2011,43627.20041203
2205,789,Ashish,2012,93306.1198924075
2060,123,John,2013,71321.5319515809
2042,456,Jane,2011,92022.6562234589
2118,123,John,2012,40654.8411929806
2137,789,Ashish,2013,95517.9796874632
2021,789,Ashish,2011,24550.3728174716
2044,123,John,2012,65165.6325754149
2008,789,Ashish,2013,52575.6826470524
2142,789,Ashish,2011,2355.60157081391
2027,456,Jane,2012,11444.4182176185
2110,456,Jane,2013,30569.1248561178
2137,123,John,2011,83085.2641429018
2164,789,Ashish,2012,82490.3282073096
2067,789,Ashish,2013,23819.2674938025
2100,123,John,2011,60571.0922900266
2032,456,Jane,2012,81537.5104157259
2038,789,Ashish,2013,51840.4728737022
2011,123,John,2011,8501.93728603408
2143,789,Ashish,2012,41609.5788261935
2170,456,Jane,2013,10062.7493542463
2049,789,Ashish,2011,87702.1539331341
2086,456,Jane,2012,99436.4240983684
2032,123,John,2013,88957.4155575739
2203,123,John,2011,18845.7996988763
2198,456,Jane,2012,70963.4330891096
2112,456,Jane,2013,45570.8963829613
2052,456,Jane,2011,12148.0111265118
2133,456,Jane,2012,30271.6788666074
2164,456,Jane,2013,62744.4642747102
2087,789,Ashish,2011,106.360599236721
2065,456,Jane,2012,30814.6162702556
2008,456,Jane,2013,89093.2326303767
2137,456,Jane,2011,22747.9616231871
2162,456,Jane,2012,8396.16540143765
2016,789,Ashish,2013,64710.8913038975
2099,789,Ashish,2011,25131.0404714956
2040,456,Jane,2012,79000.9855093238
2034,789,Ashish,2013,32183.5301165849
2044,789,Ashish,2011,72567.4153651125
2190,789,Ashish,2012,18507.6128662056
2205,123,John,2013,69530.6749822478
2006,123,John,2011,63821.5323958406
2190,456,Jane,2012,80225.2515555803
2132,789,Ashish,2013,33048.1020916964
2147,123,John,2011,36420.784858795
2006,789,Ashish,2012,73725.4668597416
2062,456,Jane,2013,30811.2737406556
2134,123,John,2011,33404.1760799062
2110,789,Ashish,2012,60876.1605448795
2165,789,Ashish,2013,37753.5923529457
2009,123,John,2011,22852.5928312381
2195,789,Ashish,2012,5535.12079276914
2029,123,John,2013,42456.1587140099
2199,123,John,2011,91203.8681790251
2068,123,John,2012,3037.82807754097
2009,456,Jane,2013,85746.8369656005
2043,456,Jane,2011,81012.6448839886
2046,456,Jane,2012,6258.72599797622
2050,456,Jane,2013,80519.2459627718
2047,789,Ashish,2011,79289.6361326055
2114,123,John,2012,69906.0936547395
2041,789,Ashish,2013,57233.0455837431
2023,456,Jane,2011,77797.6319784006
2094,456,Jane,2012,42384.026018605
2022,123,John,2013,39846.8433226592
2026,456,Jane,2011,36794.3622822936
2007,123,John,2012,10189.7345799165
2064,456,Jane,2013,52484.354053693
2023,123,John,2011,12962.7275669528
2125,789,Ashish,2012,79116.2232385417
2070,123,John,2013,16574.3094807417
2092,456,Jane,2011,27554.2270145002
2040,789,Ashish,2012,37596.8953790318
2096,123,John,2013,59561.9669686426
2123,456,Jane,2011,59035.3985437131
2200,456,Jane,2012,36867.5805464771
2099,456,Jane,2013,1839.27166598666
2166,456,Jane,2011,97072.3817159612
2160,123,John,2012,16913.6511717435
2048,456,Jane,2013,49052.829708836
2030,123,John,2011,19846.8839910058
2093,789,Ashish,2012,33781.3673745369
2127,456,Jane,2013,18870.2575533012
2160,456,Jane,2011,68070.838991548
2119,456,Jane,2012,51034.1789482634
2088,456,Jane,2013,64900.6389489529
2029,789,Ashish,2011,47447.7365981254
2038,456,Jane,2012,16708.1031969301
2046,789,Ashish,2013,63444.1243165033
2070,789,Ashish,2011,62105.7402912325
2089,123,John,2012,9348.40563842213
2139,123,John,2013,2676.23521243299
2117,789,Ashish,2011,12347.6141468593
2109,123,John,2012,95787.2806521778
2141,456,Jane,2013,28464.9408990107
2115,789,Ashish,2011,28357.6437697952
2196,123,John,2012,66107.2208575333
2093,123,John,2013,69062.2121757833
2129,789,Ashish,2011,9997.4265715212
2068,789,Ashish,2012,13716.2915883493
2136,456,Jane,2013,8606.76961437047
2113,123,John,2011,31429.9991687445
2195,123,John,2012,74718.7383475198
2134,456,Jane,2013,28813.6047187582
2194,789,Ashish,2011,11588.8508375282
2017,456,Jane,2012,15791.91374115
2122,789,Ashish,2013,62984.2535620714
2066,456,Jane,2011,12902.062255147
2203,789,Ashish,2012,68656.9593111051
2150,789,Ashish,2013,44106.4830447011
2121,789,Ashish,2011,5490.69636036842
2142,123,John,2012,78419.4499476136
2117,456,Jane,2013,4380.46281964126
2096,456,Jane,2011,70422.3849700064
2162,789,Ashish,2012,18158.7451697845
2041,456,Jane,2013,11742.6485854727
2127,123,John,2011,11934.3938319652
2128,789,Ashish,2012,95799.1898662787
2034,456,Jane,2013,36756.0097383753
2166,789,Ashish,2011,47446.9909013872
2133,123,John,2012,41256.4216279354
2170,789,Ashish,2013,2676.19710615166
2135,456,Jane,2011,94181.7649129224
2116,123,John,2012,49807.6178385961
2144,123,John,2013,22950.2365711103
2144,456,Jane,2011,54905.6113613005
2133,789,Ashish,2012,14908.8594734255
2034,123,John,2013,46114.7880844276
2112,123,John,2011,81700.654001323
2143,123,John,2012,37556.3479913568
2203,456,Jane,2013,85515.9350618521
2111,123,John,2011,31843.9097690822
2037,456,Jane,2012,49010.4235218945
2018,456,Jane,2013,19506.3892837425
2145,123,John,2011,42691.1901007191
2100,456,Jane,2012,28370.0536284329
2041,123,John,2013,26093.5708630714
2129,456,Jane,2011,48260.1231615928
2197,789,Ashish,2012,95119.0440857367
2060,789,Ashish,2013,53020.162934792
2198,789,Ashish,2011,10618.6006111335
2191,789,Ashish,2012,59382.0615498386
2047,123,John,2013,1125.80011329706
2010,123,John,2011,40301.1915602988
2146,789,Ashish,2012,43403.3779062553
2143,456,Jane,2013,74226.012466441
2206,789,Ashish,2011,1425.11953533873
2071,123,John,2012,5591.72225225881
2095,123,John,2013,55937.3000770834
2024,123,John,2011,12638.1445994958
2146,123,John,2012,98510.5902428048
2110,123,John,2013,73319.1663385981
2044,456,Jane,2011,59482.5862609713
2165,456,Jane,2012,45309.2610943379
2039,789,Ashish,2013,71497.7217434384
2140,789,Ashish,2011,32218.2535516334
2122,456,Jane,2012,81654.5451615226
2152,123,John,2013,34022.9880707409
2096,789,Ashish,2011,9781.56873050799
2031,789,Ashish,2012,96342.987533182
2011,456,Jane,2013,73529.080316838
2094,123,John,2011,90268.046465484
2111,456,Jane,2012,51309.6316529661
2123,123,John,2013,45922.5086740158
2015,123,John,2011,19273.593767348
2199,456,Jane,2012,89796.7778503334
2025,123,John,2013,52643.3656351979
2028,123,John,2011,39758.9586120667
2025,456,Jane,2012,82466.0941356797
2197,456,Jane,2013,21515.0060979322
2151,789,Ashish,2011,76683.5346577058
2007,789,Ashish,2012,18008.0118751744
2015,789,Ashish,2013,22373.5813499353
2024,789,Ashish,2011,69425.0363397183
2017,123,John,2012,47308.5087155007
2050,789,Ashish,2013,54725.7375298247
2160,789,Ashish,2011,35361.1408834995
2030,456,Jane,2012,87640.140863689
2153,123,John,2013,95989.7275867296
2150,123,John,2011,95859.9760340066
2151,123,John,2012,20564.3613783846
2045,789,Ashish,2013,429.356424835903
2027,789,Ashish,2011,15532.7801278994
2010,456,Jane,2012,35901.2244137539
2132,123,John,2013,54434.6860535625
2052,123,John,2011,33362.604382461
2088,789,Ashish,2012,10350.3284022671
2095,456,Jane,2013,29958.5441154539
2016,123,John,2011,218.99094378276
2071,456,Jane,2012,68776.1596131029
2138,789,Ashish,2013,33064.3542711363
2049,123,John,2011,89721.3151600929
2090,789,Ashish,2012,89378.5813184456
2021,456,Jane,2013,64327.6620661136
2039,123,John,2011,25194.8568943805
2031,456,Jane,2012,67430.8328803111
2016,456,Jane,2013,46974.9262220881
2029,456,Jane,2011,92117.6468512517
2040,123,John,2012,91203.5576361795
