SALES_ID,SALES_BY_REGION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
16,UAQ,n.a.,5941,3487,-1,5433,3511,2555,n.a.,1929,4285,1198,-1
10, FUJ,1085,5189,n.a.,1142,1951,3967,1993,5116,3785,2733,5686,n.a.
28,AUH,-1,1796,2472,4829,2194,-1,1142,1674,5857,1500,3219,5033
8,DXB,3490,not avilable,1317,2351,1864,n.a.,4161,1131,2173,4005,5238,1396
5, FUJ,2152,3064,3981,2958,3794,5453,3324,n.a.,1516,5640,1301,5513
28,RAK,n.a.,5612,5113,5552,4383,3397,3270,4902,2095,n.a.,5708,1864
1,AUH,3469,n.a.,not avilable,3642,5803,5662,1896,2293,2583,5233,4421,4071
3,SHJ,2473,1421,3606,1314,1413,2091,3270,3346,2080,1539,2630,1697
11,SHJ,3736,3164,930,2791,944,4051,2912,3054,2983,994,3465,2643
20,DXB,1895,2478,1050,3564,4513,1879,2951,3464,4849,1386,2331,2931
23,DXB,n.a.,1565,5691,4346,5537,4459,3929,3355,4024,2838,2521,3346
23,DXB,3897,2795,3500,5302,2662,n.a.,not avilable,4620,1226,5505,1529,4534
17,AJM,3718,2921,n.a.,1567,2975,1001,4736,1104,1247,4191,3513,1645
23,RAK,not avilable,3845,4040,4905,2615,3069,1101,5548,1504,1527,1856,4383
25,DXB,4195,2733,3133,3719,938,5499,3244,2725,4310,2034,5559,5951
26,DXB,1934,2849,5937,3231,3136,3640,4022,4022,4142,5265,1444,3718
27, FUJ,-1,5616,2827,5290,1548,1352,2047,1006,1189,1625,4233,1848
25,SHJ,2475,4512,3976,1286,4627,1370,4346,4296,4558,3247,4791,949
23,AUH,997,1268,3981,5091,4021,5931,4691,3481,3487,2082,3179,2537
2,AUH,1328,4264,1574,2343,3826,4932,1710,3221,3381,1313,1765,1214
1,SHJ,5840,5270,4114,5605,4387,5026,4055,2782,4578,4993,2859,4853
10,AJM,1614,4722,1546,5531,1483,2202,2015,1453,5529,4173,901,3190
30,AJM,2832,5978,1684,1550,1194,3737,5779,4441,1213,3711,5384,1293
19,AJM,2321,4358,954,5306,5970,2627,2537,3061,1015,5257,3304,3270
27,UAQ,2713,3298,1806,4704,3180,4835,4023,4954,5690,3492,2055,4200
25,RAK,4322,1695,3745,1801,2511,2073,1941,1830,1712,2555,1310,4762
26,RAK,2695,4511,2119,4689,1858,5949,5739,1406,1214,1456,4959,3343
