Код магазину,Дата,Місяц,КільКість реалізацій,Собівартість одиниці,Ціна реализації,,,,Код магазину,Регіон
1370669,01/01/2021,Січень,1,88.6115,60.2568905539203,,,,1275815,Схід
1403429,01/01/2021,Січень,1,121.4205,107.032378913567,,,,1270995,Схід
1463048,01/01/2021,Січень,2,109.6037,160.551244313621,,,,1156378,Схід
1484789,01/01/2021,Січень,1,41.0083,48.1616269735082,,,,1153466,Схід
101462,01/02/2021,Січень,1,116.2402,144.495584693605,,,,1172849,Схід
105122,01/02/2021,Січень,2,75.408,80.2729462135403,,,,1242275,Схід
105426,01/02/2021,Січень,1,69.2781,80.2729462135403,,,,1153469,Схід
1125726,01/02/2021,Січень,2,57.22375,61.5413433235215,,,,1149718,Схід
1136014,01/02/2021,Січень,1,69.2781,80.2729462135403,,,,1153533,Схід
1136017,01/02/2021,Січень,2,136.11775,160.551244313621,,,,1161130,Схід
1136019,01/02/2021,Січень,1,80.1879,74.9210596735349,,,,1169861,Схід
1136020,01/02/2021,Січень,1,57.2937,53.5135135135135,,,,1161888,Схід
1138567,01/02/2021,Січень,1,54.0604,53.5135135135135,,,,1153534,Схід
1141563,01/02/2021,Січень,4,78.251425,90.976719293551,,,,1421783,Схід
1141567,01/02/2021,Січень,1,116.8189,139.143698153599,,,,1160118,Схід
1143363,01/02/2021,Січень,2,94.9327,120.41209526358,,,,1460649,Схід
1143366,01/02/2021,Січень,1,69.2781,80.2729462135403,,,,1216328,Схід
1143403,01/02/2021,Січень,2,58.50045,62.9060743912229,,,,1153532,Схід
1144844,01/02/2021,Січень,3,79.5166666666667,103.464454553563,,,,1279611,Днепро-Слобідський
1145299,01/02/2021,Січень,4,70.8977,74.9210596735349,,,,1166091,Днепро-Слобідський
1145540,01/02/2021,Січень,5,64.75554,68.4891624297565,,,,1147199,Днепро-Слобідський
1145678,01/02/2021,Січень,1,66.2413,90.976719293551,,,,1156629,Днепро-Слобідський
1147019,01/02/2021,Січень,3,74.8393666666667,89.1927571135492,,,,1204512,Днепро-Слобідський
1147091,01/02/2021,Січень,1,74.3177,74.8728926946749,,,,1267455,Днепро-Слобідський
1149642,01/02/2021,Січень,1,93.5223,107.032378913567,,,,1319633,Днепро-Слобідський
1151862,01/02/2021,Січень,1,171.8097,176.606903933637,,,,1147105,Днепро-Слобідський
1152049,01/02/2021,Січень,1,57.2937,53.5135135135135,,,,1145538,Днепро-Слобідський
1152051,01/02/2021,Січень,2,64.7048,75.4562483275355,,,,1145540,Днепро-Слобідський
1152052,01/02/2021,Січень,1,192.977,246.181428953706,,,,1295811,Днепро-Слобідський
1153463,01/02/2021,Січень,1,57.2937,56.7246454375167,,,,1319605,Днепро-Слобідський
1153466,01/02/2021,Січень,1,93.5223,107.032378913567,,,,1147528,Днепро-Слобідський
1153473,01/02/2021,Січень,1,71.8515,64.2172865935242,,,,1456696,Днепро-Слобідський
1153511,01/02/2021,Січень,1,121.4205,112.919454107573,,,,1147541,Днепро-Слобідський
1153518,01/02/2021,Січень,1,80.1879,74.9210596735349,,,,1180626,Днепро-Слобідський
1153519,01/02/2021,Січень,3,68.4336333333333,67.7852109535278,,,,1147554,Днепро-Слобідський
1153520,01/02/2021,Січень,1,66.2413,90.976719293551,,,,1431318,Днепро-Слобідський
1153521,01/02/2021,Січень,2,52.50825,49.5263580412095,,,,1145346,Днепро-Слобідський
1153527,01/02/2021,Січень,1,80.1879,74.9210596735349,,,,1145347,Днепро-Слобідський
1156378,01/02/2021,Січень,1,83.3197,93.6526625635537,,,,1305313,Днепро-Слобідський
1156658,01/02/2021,Січень,1,80.1879,79.2025689055392,,,,1184404,Днепро-Слобідський
1158938,01/02/2021,Січень,2,47.7228,49.5263580412095,,,,1153470,Днепро-Слобідський
1159778,01/02/2021,Січень,4,73.9396,76.2590313085363,,,,1153467,Днепро-Слобідський
1163232,01/02/2021,Січень,2,56.40265,72.2451164035323,,,,1151743,Днепро-Слобідський
1166831,01/02/2021,Січень,1,57.2937,56.7246454375167,,,,1151738,Днепро-Слобідський
1169861,01/02/2021,Січень,1,71.8515,64.2172865935242,,,,1153463,Днепро-Слобідський
1172838,01/02/2021,Січень,1,54.0604,55.6542681295157,,,,1356241,Днепро-Слобідський
1173031,01/02/2021,Січень,1,83.3197,74.011238961734,,,,1153456,Днепро-Слобідський
1179050,01/02/2021,Січень,1,80.1879,74.9210596735349,,,,1204285,Днепро-Слобідський
1181034,01/02/2021,Січень,1,57.2937,53.5135135135135,,,,1153461,Днепро-Слобідський
1181434,01/02/2021,Січень,2,75.87885,85.6248327535456,,,,1503689,Днепро-Слобідський
1196175,01/02/2021,Січень,2,60.15085,72.2451164035323,,,,1423417,Днепро-Слобідський
1196188,01/02/2021,Січень,2,69.2881,70.6395504415306,,,,1153460,Днепро-Слобідський
