Week,Day,Promo_action,Sales
2,01/02/2021,так,13.2752293577982
2,01/03/2021,ні,4.90733944954129
2,01/04/2021,ні,5.94220183486239
2,01/05/2021,ні,8.70183486238532
2,01/06/2021,ні,5.28532110091743
2,01/07/2021,ні,13.4889908256881
2,01/08/2021,ні,11.851376146789
3,01/09/2021,так,13.4247706422018
3,01/10/2021,ні,8.54678899082569
3,01/11/2021,ні,5.61192660550459
3,01/12/2021,так,13.8761467889908
3,01/13/2021,ні,5.17981651376147
3,01/14/2021,так,19.3376146788991
3,01/15/2021,ні,13.0752293577982
4,01/16/2021,ні,5.27431192660551
4,01/17/2021,ні,5.88623853211009
4,01/18/2021,ні,4.08165137614679
4,01/19/2021,ні,8.25045871559633
4,01/20/2021,ні,5.97431192660551
4,01/21/2021,ні,15.9862385321101
4,01/22/2021,ні,15.0990825688073
5,01/23/2021,ні,5.42385321100918
5,01/24/2021,ні,9.0256880733945
5,01/25/2021,так,13.451376146789
5,01/26/2021,ні,8.62477064220184
5,01/27/2021,ні,7.56880733944954
5,01/28/2021,так,25.4348623853211
5,01/29/2021,ні,14.7229357798165
6,01/30/2021,ні,6.17339449541285
6,01/31/2021,ні,9.9651376146789
6,02/01/2021,ні,5.52110091743119
6,02/02/2021,ні,8.59908256880734
6,02/03/2021,ні,8.96330275229358
6,02/04/2021,ні,18.3834862385321
6,02/05/2021,ні,16.1467889908257
7,02/06/2021,ні,6.82293577981652
7,02/07/2021,ні,10.1045871559633
7,02/08/2021,ні,5.8908256880734
7,02/09/2021,ні,11.2733944954128
7,02/10/2021,так,14.4577981651376
7,02/11/2021,так,25.1321100917431
7,02/12/2021,ні,16.8706422018349
8,02/13/2021,ні,6.97247706422019
8,02/14/2021,ні,10.6440366972477
8,02/15/2021,ні,6.2605504587156
8,02/16/2021,ні,13.0477064220184
8,02/17/2021,так,15.8522935779817
8,02/18/2021,ні,20.8807339449541
8,02/19/2021,ні,17.894495412844
9,02/20/2021,ні,10.4220183486239
9,02/21/2021,ні,8.68348623853211
9,02/22/2021,ні,7.8302752293578
9,02/23/2021,ні,12.1220183486239
9,02/24/2021,так,16.1467889908257
9,02/25/2021,ні,23.3293577981651
9,02/26/2021,ні,18.6183486238532
10,02/27/2021,ні,10.2715596330275
10,02/28/2021,ні,12.3229357798165
10,03/01/2021,ні,7
10,03/02/2021,ні,11.5963302752294
10,03/03/2021,ні,8.84128440366972
10,03/04/2021,ні,23.2779816513761
10,03/05/2021,ні,21.7422018348624
11,03/06/2021,ні,8.52110091743119
11,03/07/2021,ні,9.76238532110091
11,03/08/2021,ні,7.3697247706422
11,03/09/2021,ні,13.5706422018349
11,03/10/2021,так,17.7357798165138
11,03/11/2021,ні,25.2266055045871
11,03/12/2021,ні,23.1660550458715
12,03/13/2021,ні,10.5706422018349
12,03/14/2021,ні,12.8018348623853
12,03/15/2021,так,11.9394495412844
12,03/16/2021,так,21.7449541284404
12,03/17/2021,ні,11.6302752293578
12,03/18/2021,ні,26.1752293577981
12,03/19/2021,так,30.1899082568807
13,03/20/2021,ні,?
13,03/21/2021,ні,?
13,03/22/2021,ні,?
13,03/23/2021,ні,?
13,03/24/2021,ні,?
13,03/25/2021,ні,?
13,03/26/2021,ні,?
14,03/27/2021,ні,?
14,03/28/2021,ні,?
14,03/29/2021,ні,?
14,03/30/2021,ні,?
14,03/31/2021,так,?
14,04/01/2021,ні,?
14,04/02/2021,ні,?
