,Field_in_data,Description_of_information,Minimax,At_the_time_of_the_request,Place_of_definition,Note,Unnamed: 6
0,loan_amount,Сума кредита в заявці,min,Відомо,Вказує позичальник,,
1,loan_days,Термін погашення кредита в заявці,min,Відомо,Вказує позичальник,,
2,gender_id,Стать позичальника,max,Відомо,Вказує позичальник,Потрібна расшифровка id,
3,birth_date,Дата народження позичальника,,Відомо,Вказує позичальник,Иногда заполнена неправильно,
4,children_count_id,Кількість дітей у позичальника,min,Відомо,Вказує позичальник,Потрібна расшифровка id,
5,education_id,Рівень освіти позичальника,max,Відомо,Вказує позичальник,Потрібна расшифровка id,
6,fact_addr_owner_type_id,Адрес проживания: тип власності,,Відомо,Вказує позичальник,Потрібна расшифровка id,
7,has_immovables,Володіє нерухомістю,max,Відомо,Вказує позичальник,,
8,has_movables,Володіє транспортним засобом,max,Відомо,Вказує позичальник,,
9,employment_type_id,Місце работи: Тип зайнятості,max,Відомо,Вказує позичальник,Потрібна расшифровка id,
10,organization_type_id,Місце роботи: тип организації,max,Відомо,Вказує позичальник,Потрібна расшифровка id,
11,organization_branch_id,Місце роботи: галузь організації,max,Відомо,Вказує позичальник,Потрібна расшифровка id,
12,empoyees_count_id,Місце роботи: кількість співробітників організації,max,Відомо,Вказує позичальник,Потрібна расшифровка id,
13,seniority_years,Трудовий стаж,max,Відомо,Вказує позичальник,Повинна бути заповнена вірно,
14,monthly_income,Щомісячні доходи,max,Відомо,Вказує позичальник,,
15,income_frequency_id,Частота отримання доходів,max,Відомо,Вказує позичальник,,
16,income_source_id,Джерело отримання доходів,max,Відомо,Вказує позичальник,,
17,monthly_expenses,Щомісячні витрати,min,Відомо,Вказує позичальник,,
18,other_loans_has_closed,Усі попередні позики погашені,,Відомо,Вказує позичальник,,
19,other_loans_active,Присутні непогашені позики,,Відомо,Вказує позичальник,,
20,other_loans_about_current,Загальний розмір непогашених позиків,min,Відомо,Вказує позичальник,,
21,other_loans_about_monthly,Щомісячні виплати по непогашеним позикам,min,Відомо,Вказує позичальник,,
22,product_id,"id продукта, який видається замовнику",,???,"параметри, повязані з виданим продуктом",,
23,product_dpr,відсоткова ставка по кредиту,min,???,"параметри, повязані з виданим продуктом",,
24,product_amount_from,Нижня межа виду позики,min,???,"параметри, повязані з виданим продуктом",,
25,product_amount_to,Верхня межа виду позики,max,???,"параметри, повязані з виданим продуктом",,
26,product_interest_min,мінімальна сума по продукту,max,???,"параметри, повязані з виданим продуктом",,
27,product_base_amount_limit,ліміт суми по продукту,,???,"параметри, повязані з виданим продуктом",,
28,amount_limit,ліміт суми,,???,"параметри, повязані з виданим продуктом",,
29,applied_limit,затверджені ліміти,,???,"параметри, повязані з виданим продуктом",,
30,amount_to_pay,сума для оплати мінімальна,,???,"параметри, повязані з виданим продуктом",,
