,Field_in_data,Description_of_information,Minimax,At_the_time_of_the_request,Place_of_definition,Note,Unnamed: 6
0,loan_amount,Сумма кредита в заявке,min,Известно,Указывает заемщик,,
1,loan_days,Срок погашения кредита в заявке,min,Известно,Указывает заемщик,,
2,gender_id,Пол заемщика,max,Известно,Указывает заемщик,Нужна расшифровка id,
3,birth_date,Дата рождения заемщика,,Известно,Указывает заемщик,Иногда заполнена неправильно,
4,children_count_id,Количество детей у заемщика,min,Известно,Указывает заемщик,Нужна расшифровка id,
5,education_id,Уровень образования заемщика,max,Известно,Указывает заемщик,Нужна расшифровка id,
6,fact_addr_owner_type_id,Адрес проживания: тип собственности,,Известно,Указывает заемщик,Нужна расшифровка id,
7,has_immovables,Владеет недвижимостью,max,Известно,Указывает заемщик,,
8,has_movables,Владеет транспортным средством,max,Известно,Указывает заемщик,,
9,employment_type_id,Место работы: Тип занятости,max,Известно,Указывает заемщик,Нужна расшифровка id,
10,organization_type_id,Место работы: тип организации,max,Известно,Указывает заемщик,Нужна расшифровка id,
11,organization_branch_id,Место работы: отрасль организации,max,Известно,Указывает заемщик,Нужна расшифровка id,
12,empoyees_count_id,Место работы: количество сотрудников организации,max,Известно,Указывает заемщик,Нужна расшифровка id,
13,seniority_years,Трудовой стаж,max,Известно,Указывает заемщик,Должен быть указан правильно,
14,monthly_income,Ежемесячные доходы,max,Известно,Указывает заемщик,,
15,income_frequency_id,Частота получения дохода,max,Известно,Указывает заемщик,,
16,income_source_id,Источник получения дохода,max,Известно,Указывает заемщик,,
17,monthly_expenses,Ежемесячные расходы,min,Известно,Указывает заемщик,,
18,other_loans_has_closed,Все другие займы погашены,,Известно,Указывает заемщик,,
19,other_loans_active,Есть непогашенные займы,,Известно,Указывает заемщик,,
20,other_loans_about_current,Общий размер непогашенных займов,min,Известно,Указывает заемщик,,
21,other_loans_about_monthly,Ежемесячные выплаты по непогашенным займам,min,Известно,Указывает заемщик,,
22,product_id,"id продукта, который выдается клиенту",,???,параметры связанные с выданным продуктом,,
23,product_dpr,процентная ставка по кредиту,min,???,параметры связанные с выданным продуктом,,
24,product_amount_from,Нижний предел вида займа,min,???,параметры связанные с выданным продуктом,,
25,product_amount_to,Верхний предел вида займа,max,???,параметры связанные с выданным продуктом,,
26,product_interest_min,минимальная сумма по продукту,max,???,параметры связанные с выданным продуктом,,
27,product_base_amount_limit,лимит суммы по продукту,,???,параметры связанные с выданным продуктом,,
28,amount_limit,лимит суммы,,???,параметры связанные с выданным продуктом,,
29,applied_limit,утвержденные лимит,,???,параметры связанные с выданным продуктом,,
30,amount_to_pay,сумма для оплаты минимальная,,???,параметры связанные с выданным продуктом,,
