Field_in_data,Description_of_information,Filling,At_the_time_of_the_request,Place_of_definition,Note
id,Ідентифікатор заявки,Обов'язково,Відомо,Визначається системою обліку заявок на момент реєстрації,
loan_amount,Сума кредита в заявці,Обов'язково,Відомо,Вказує позичальник,
loan_days,Термін погашення кредита в заявці,Обов'язково,Відомо,Вказує позичальник,
applied_at,Дата і час прийняття заявки,Обов'язково,Відомо,Визначається при подачі заявки,Локальний час на пристрої користувача або час прийому заявок?
language,,,,Визначається браузером при подачі заявки,Завжди UА
purpose_id,ID мети використання кредиту,Обов'язково,Відомо,,"Завжди 999 – 999 це клієнт вписує саме призначення, раніше можна було вибирати зі списку"
purpose_other,Мета використання кредиту,Обов'язково,Відомо,Вказує позичальник,
ip,"IP клієнта, з якого надійшов запит",Обов'язково,Відомо,Визначається браузером при подачі заявки,
user_agent,Технічна інформація про пристрій клієнат,Обов'язково,Відомо,Визначається браузером при подачі заявки,
referral,Сайт з якого користувач прийшов на сторінку заявки,,Відомо,Визначається браузером при подачі заявки,
maiden_name,не використовується,,,,Завжди пусто
gender_id,Стать позичальника,Обов'язково,Відомо,Вказує позичальник,Потрібна расшифровка id
birth_date,Дата народження позичальника,Обов'язково,Відомо,Вказує позичальник,Іноді заповнюєтья не вірно
marital_status_id,Сімейний статус позичальника,Обов'язково,Відомо,Вказує позичальник,Потрібна расшифровка id
children_count_id,Кількість дітей у позичальника,Обов'язково,Відомо,Вказує позичальник,Потрібна расшифровка id
education_id,Рівень освіти позичальника,Обов'язково,Відомо,Вказує позичальник,Потрібна расшифровка id
passport_number,Номеп паспорта,Обов'язково,Відомо,Вказує позичальник,Повинен бути заповнений
passport_date,Дата видачи паспорта,Обов'язково,Відомо,Вказує позичальник,Повинна бути заповнена вірно
passport_issued_by,Кім виданий паспорт,,Відомо,Вказує позичальник,
social_number,ИНН позичальника,Обов'язково,Відомо,Вказує позичальник,Повинен бути заповнений
email,email позичальника,Обов'язково,Відомо,Вказує позичальник,Повинен бути заповнений
phone_mobile,Мобільний телефон позичальника,Обов'язково,Відомо,Вказує позичальник,Повинен бути заповнений
social_accounts,Посилання на профілі в соціальних мережах,,,???,Будет ли информация на момент заявки?
addr_region_id,Адреса реєстрації: область,Обов'язково,Відомо,Вказує позичальник,Потрібна расшифровка id
addr_postcode,Адреса реєстрації: почтовій індекс,,Відомо,Вказує позичальник,
addr_city,Адреса реєстрації: місто,,Відомо,Вказує позичальник,
addr_street_type_id,Адреса реєстрації: тип вулиці,,Відомо,Вказує позичальник,
addr_street,Адреса реєстрації: вулиця,,Відомо,Вказує позичальник,
addr_house,Адреса реєстрації: номер дома,,Відомо,Вказує позичальник,
addr_building,Адреса реєстрації: номер будівлі,,Відомо,Вказує позичальник,
addr_flat,Адреса реєстрації: номер квартири,,Відомо,Вказує позичальник,
addr_phone,Адреса реєстрації: номер телефона,,Відомо,Вказує позичальник,
addr_owner_type_id,Адреса реєстрації: тип власності,Обов'язково,Відомо,Вказує позичальник,Потрібна расшифровка id
addr_registration_date,Адреса реєстрації: дата реєстрації,Обов'язково,Відомо,Вказує позичальник,Должна быть заполнена правильно
fact_addr_same,Адреса проживання і Адреса реєстрації співпадають,Обов'язково,Відомо,Вказує позичальник,
fact_addr_region_id,Адрес проживания: область,Обов'язково,Відомо,Вказує позичальник,
fact_addr_postcode,Адрес проживания: почтовий індекс,,Відомо,Вказує позичальник,
fact_addr_city,Адрес проживания: місто,,Відомо,Вказує позичальник,
fact_addr_street_type_id,Адрес проживания: тип вулиці,,Відомо,Вказує позичальник,
fact_addr_street,Адрес проживания: вулиця,,Відомо,Вказує позичальник,
fact_addr_house,Адрес проживания: номер дома,,Відомо,Вказує позичальник,
fact_addr_building,Адрес проживания: номер будівлі,,Відомо,Вказує позичальник,
fact_addr_flat,Адрес проживания: номер квартири,,Відомо,Вказує позичальник,
fact_addr_phone,Адрес проживания: номер телефона,,Відомо,Вказує позичальник,
fact_addr_owner_type_id,Адрес проживания: тип власності,,Відомо,Вказує позичальник,Потрібна расшифровка id
fact_addr_start_date,Адреса реєстрації: дата початку проживання,,Відомо,Вказує позичальник,
has_immovables,Володіє нерухомістю,Обов'язково,Відомо,Вказує позичальник,
has_movables,Володіє транспортним засобом,Обов'язково,Відомо,Вказує позичальник,
employment_type_id,Місце работи: Тип зайнятості,,Відомо,Вказує позичальник,Потрібна расшифровка id
position_id,Місце работи: тип посади,,Відомо,Вказує позичальник,Потрібна расшифровка id
position_other,Місце роботи: додаткова інформація для типу 999,,Відомо,Вказує позичальник,
organization,Місце работи: назва організації,,Відомо,Вказує позичальник,
organization_type_id,Місце роботи: тип организації,,Відомо,Вказує позичальник,Потрібна расшифровка id
organization_type_other,Місце роботи: додаткова інформація для типу 999,,Відомо,Вказує позичальник,
organization_branch_id,Місце роботи: галузь організації,,Відомо,Вказує позичальник,Потрібна расшифровка id
organization_branch_other,Місце роботи: додаткова інформація для типу 999,,Відомо,Вказує позичальник,
empoyees_count_id,Місце роботи: кількість співробітників організації,,Відомо,Вказує позичальник,Потрібна расшифровка id
employment_date,Місце роботи: дата початку роботи,,Відомо,Вказує позичальник,Повинна бути заповнена вірно
seniority_years,Трудовий стаж,Обов'язково,Відомо,Вказує позичальник,Повинен бути вказаний вірно
spd_reg_phone,ФОП: телефон реєстрації,,Відомо,Вказує позичальник,
spd_reg_date,ФОП: дата реєстрації,,Відомо,Вказує позичальник,
work_phone,Рабочий телефон,,Відомо,Вказує позичальник,
has_prior_employment,є попереднє Місце роботи,,Відомо,Вказує позичальник,
prior_organization_name,Назва попередньої організації,,Відомо,Вказує позичальник,
prior_employment_start_date,Дата початку роботи на попередньому місці,,Відомо,Вказує позичальник,
prior_employment_end_date,Дата завершення роботи на попередньому місці,,Відомо,Вказує позичальник,
monthly_income,Щомісячні доходи,Обов'язково,Відомо,Вказує позичальник,
income_frequency_id,Частота отримання доходів,Обов'язково,Відомо,Вказує позичальник,
income_frequency_other,Додаткові інформація про частоту доходів,,Відомо,Вказує позичальник,
income_source_id,Джерело отримання доходів,Обов'язково,Відомо,Вказує позичальник,
income_source_other,Додаткова інформація про джерело доходів,,Відомо,Вказує позичальник,
monthly_expenses,Щомісячні витрати,Обов'язково,Відомо,Вказує позичальник,
